ACADEMIC_YEAR,ASSESSMENT_YEAR,SCH_ID,FFT_ID,UPN,SURNAME,FORENAMES,DOB,GENDER,PRIOR_ATTAIN_KEY_STAGE,PRIOR_ATTAIN_RANK,PRIOR_ATTAIN_GROUP,KS2_ENGLISH_TEST,KS2_WELSH_TEST,KS2_MATHS_TEST,KS2_SCIENCE_TEST,KS2_ENGLISH_TA,KS2_WELSH_TA,KS2_MATHS_TA,KS2_SCIENCE_TA,EST_BASIS,EST_RANK,KS3_SBJ_CODE,KS3_SUBJECT,KS3_LEV2_PROB,KS3_LEV3_PROB,KS3_LEV4_PROB,KS3_LEV5_PROB,KS3_LEV6_PROB,KS3_LEV7_PROB,KS3_LEV2PLUS_PROB,KS3_LEV3PLUS_PROB,KS3_LEV4PLUS_PROB,KS3_LEV5PLUS_PROB,KS3_LEV6PLUS_PROB,KS3_LEV7PLUS_PROB,KS3_EST_LEVEL,EXPECTED_PROGRESS_LEVEL,EXPECTED_PROGRESS_PROB,PRIOR_ATTAIN_DATA_STATUS,EXPORT_DATE
2013,2014,9994002,99909597,UPN          ,Basil,Victor,16/06/2000,M,2,,L,B,,B,3,2,,2,3,PA,50,EN,English,7,33,52,8,1,1,99,93,60,8,1,1,4C,4,60,Final,08/05/2014
2013,2014,9994002,99902174,UPN          ,Bay Leaf,Andrew,05/08/2000,M,2,,U,5C,,5C,5,5,,5,5,PA,50,EN,English,1,1,1,10,57,33,99,99,99,99,90,33,6B,7,33,Final,08/05/2014
2013,2014,9994002,99948060,UPN          ,Bay Leaf,Rhys,21/12/1999,M,2,,U,5B,,5A,5,5,,5,5,PA,50,EN,English,1,1,1,2,38,60,99,99,99,99,97,60,6A,7,60,Final,08/05/2014
2013,2014,9994002,99963976,UPN          ,Beetroot,Courtney,11/05/2000,F,2,,M,4B,,4A,4,4,,4,4,PA,50,EN,English,1,1,4,49,44,3,99,99,99,96,47,3,5A,6,47,Final,08/05/2014
2013,2014,9994002,99900113,UPN          ,Beetroot,Felicity,02/03/2000,F,2,,U,5C,,5C,5,5,,5,5,PA,50,EN,English,1,1,1,6,56,37,99,99,99,99,94,37,6A,7,37,Final,08/05/2014
2013,2014,9994002,99940093,UPN          ,Beetroot,Joanne,18/04/2000,F,2,,U,5B,,4A,5,5,,4,5,PA,50,EN,English,1,1,1,4,49,47,99,99,99,99,96,47,6A,7,47,Final,08/05/2014
2013,2014,9994002,99919498,UPN          ,Beetroot,Nicholas,12/04/2000,M,2,,L,3C,,4B,3,3,,4,3,PA,50,EN,English,1,11,52,35,1,1,99,99,88,36,1,1,4A,5,36,Final,08/05/2014
2013,2014,9994002,99979932,UPN          ,Beetroot,Sally,06/09/1999,F,2,,M,5C,,4A,4,5,,5,4,PA,50,EN,English,1,1,1,11,63,26,99,99,99,99,88,26,6B,7,26,Final,08/05/2014
2013,2014,9994002,99906887,UPN          ,Beryllium,Benjamin,17/06/2000,M,2,,M,4A,,4B,4,4,,4,4,PA,50,EN,English,1,1,6,53,38,2,99,99,99,93,41,2,5A,6,41,Final,08/05/2014
2013,2014,9994002,99910620,UPN          ,Beryllium,Lisa,06/03/2000,F,2,,L,B,,B,2,2,,2,2,PA,50,EN,English,6,28,55,10,1,1,99,94,65,10,1,1,4C,4,65,Final,08/05/2014
2013,2014,9994002,99914056,UPN          ,Blackberry,Angela,14/01/2000,F,2,,L,4B,,4C,4,3,,4,4,PA,50,EN,English,1,1,9,61,29,1,99,99,99,90,30,1,5A,6,30,Final,08/05/2014
2013,2014,9994002,99900755,UPN          ,Blackberry,Michaela,17/12/1999,F,2,,M,4A,,4A,4,4,,4,4,PA,50,EN,English,1,1,1,31,60,8,99,99,99,99,68,8,6C,6,68,Final,08/05/2014
2013,2014,9994002,99931072,UPN          ,Blackberry,Nathan,18/09/1999,M,2,,U,5C,,5B,5,5,,5,5,PA,50,EN,English,1,1,1,10,57,33,99,99,99,99,90,33,6B,7,33,Final,08/05/2014
2013,2014,9994002,99953085,UPN          ,Blackberry,Nicola,07/08/2000,F,2,,U,4A,,5B,5,5,,5,5,PA,50,EN,English,1,1,1,10,61,29,99,99,99,99,90,29,6B,6,90,Final,08/05/2014
2013,2014,9994002,99913352,UPN          ,Bohrium,Dale,07/08/2000,M,2,,M,4B,,4B,4,4,,4,4,PA,50,EN,English,1,1,12,61,26,1,99,99,99,88,27,1,5B,6,27,Final,08/05/2014
2013,2014,9994002,99945290,UPN          ,Bohrium,Rhys,23/04/2000,M,2,,L,4C,,3A,4,4,,3,4,PA,50,EN,English,1,2,27,61,10,1,99,99,98,71,10,1,5C,6,10,Final,08/05/2014
2013,2014,9994002,99951377,UPN          ,Boron,Joshua,31/08/2000,M,2,,M,4B,,4B,5,4,,4,5,PA,50,EN,English,1,1,5,49,42,3,99,99,99,95,45,3,5A,6,45,Final,08/05/2014
2013,2014,9994002,99903185,UPN          ,Bromine,David,08/05/2000,M,2,,L,B,,B,1,1,,1,1,PA,50,EN,English,28,44,27,1,1,1,99,72,28,1,1,1,3B,3,72,Final,08/05/2014
2013,2014,9994002,99903163,UPN          ,Bromine,Nicholas,02/02/2000,M,2,,M,4B,,4A,4,4,,4,4,PA,50,EN,English,1,1,12,61,25,1,99,99,99,87,26,1,5B,6,26,Final,08/05/2014
2013,2014,9994002,99911686,UPN          ,Cadmium,Courtney,19/07/2000,F,2,,M,4C,,5C,4,5,,5,4,PA,50,EN,English,1,1,3,43,49,4,99,99,99,97,53,4,5A,6,53,Final,08/05/2014
2013,2014,9994002,99905531,UPN          ,Cadmium,Gill,02/07/2000,F,2,,L,4B,,3C,4,4,,3,4,PA,50,EN,English,1,1,5,52,41,2,99,99,99,95,43,2,5A,6,43,Final,08/05/2014
2013,2014,9994002,99922540,UPN          ,Cadmium,Megan,23/02/2000,F,2,,M,4B,,4C,4,4,,4,4,PA,50,EN,English,1,1,6,54,38,2,99,99,99,94,40,2,5A,6,40,Final,08/05/2014
2013,2014,9994002,99901128,UPN          ,Caesium,Katherine,24/03/2000,F,2,,M,5C,,4A,4,5,,4,4,PA,50,EN,English,1,1,1,14,64,21,99,99,99,99,85,21,6B,7,21,Final,08/05/2014
2013,2014,9994002,99923247,UPN          ,Caesium,Katrina,21/03/2000,F,2,,L,3A,,4C,4,4,,4,4,PA,50,EN,English,1,1,16,65,18,1,99,99,99,83,18,1,5B,5,83,Final,08/05/2014
2013,2014,9994002,99971682,UPN          ,Calcium,Aimee,31/08/2000,F,2,,M,4B,,4A,4,4,,5,4,PA,50,EN,English,1,1,2,36,56,6,99,99,99,98,61,6,6C,6,61,Final,08/05/2014
2013,2014,9994002,99906888,UPN          ,Calcium,Wendy,09/10/1999,F,2,,U,5C,,5C,5,4,,5,5,PA,50,EN,English,1,1,1,11,63,25,99,99,99,99,88,25,6B,7,25,Final,08/05/2014
2013,2014,9994002,99909586,UPN          ,Carbon,Craig,25/03/2000,M,2,,L,4B,,4C,3,3,,3,3,PA,50,EN,English,1,2,28,60,9,1,99,99,97,69,9,1,5C,6,9,Final,08/05/2014
2013,2014,9994002,99960842,UPN          ,Carrot,Amanda,23/11/1999,F,2,,L,3B,,4B,4,3,,4,4,PA,50,EN,English,1,2,24,64,10,1,99,99,98,74,10,1,5C,5,74,Final,08/05/2014
2013,2014,9994002,99918778,UPN          ,Carrot,William,23/11/1999,M,2,,L,3B,,3A,4,3,,4,4,PA,50,EN,English,1,5,41,49,4,1,99,99,94,54,4,1,5C,5,54,Final,08/05/2014
2013,2014,9994002,99903171,UPN          ,Cauliflower,Daniel,14/12/1999,M,2,,L,3A,,3A,4,4,,4,4,PA,50,EN,English,1,2,27,60,10,1,99,99,98,70,10,1,5C,5,70,Final,08/05/2014
2013,2014,9994002,99967596,UPN          ,Cauliflower,Jake,22/02/2000,M,2,,L,3C,,3B,2,2,,3,2,PA,50,EN,English,2,20,58,19,1,1,99,98,78,20,1,1,4B,5,20,Final,08/05/2014
2013,2014,9994002,99960228,UPN          ,Cauliflower,Robert,30/10/1999,M,2,,L,3A,,4C,4,4,,4,4,PA,50,EN,English,1,2,28,60,9,1,99,99,97,69,9,1,5C,5,69,Final,08/05/2014
2013,2014,9994002,99975495,UPN          ,Cauliflower,Sophie,24/09/1999,F,2,,M,4A,,4A,4,4,,4,4,PA,50,EN,English,1,1,2,32,59,7,99,99,99,98,66,7,6C,6,66,Final,08/05/2014
2013,2014,9994002,99957969,UPN          ,Celery,Carl,01/05/2000,M,2,,L,4A,,3C,3,4,,3,3,PA,50,EN,English,1,1,13,62,23,1,99,99,99,86,24,1,5B,6,24,Final,08/05/2014
2013,2014,9994002,99919826,UPN          ,Celery,Hannah,15/02/2000,F,2,,M,4A,,4C,4,4,,4,4,PA,50,EN,English,1,1,2,34,57,7,99,99,99,98,64,7,6C,6,64,Final,08/05/2014
2013,2014,9994002,99900758,UPN          ,Celery,Ivan,25/11/1999,M,2,,U,5C,,5B,5,5,,5,5,PA,50,EN,English,1,1,1,9,57,34,99,99,99,99,90,34,6B,7,34,Final,08/05/2014
2013,2014,9994002,99903125,UPN          ,Celery,Luke,20/06/2000,M,2,,U,5B,,5A,5,5,,5,5,PA,50,EN,English,1,1,1,2,37,60,99,99,99,99,98,60,6A,7,60,Final,08/05/2014
2013,2014,9994002,99904495,UPN          ,Celery,Megan,14/05/2000,F,2,,L,4B,,3B,4,4,,3,4,PA,50,EN,English,1,1,9,60,30,1,99,99,99,91,31,1,5A,6,31,Final,08/05/2014
2013,2014,9994002,99902829,UPN          ,Celery,Stephen,23/09/1999,M,2,,L,4C,,4B,3,4,,3,3,PA,50,EN,English,1,2,28,60,10,1,99,99,98,70,10,1,5C,6,10,Final,08/05/2014
2013,2014,9994002,99906265,UPN          ,Celery,Stephen,12/07/2000,M,2,,U,5C,,5B,5,5,,5,5,PA,50,EN,English,1,1,1,14,60,26,99,99,99,99,86,26,6B,7,26,Final,08/05/2014
2013,2014,9994002,99913664,UPN          ,Cherry,Benjamin,13/03/2000,M,2,,U,5C,,5B,5,5,,5,5,PA,50,EN,English,1,1,1,12,59,28,99,99,99,99,88,28,6B,7,28,Final,08/05/2014
2013,2014,9994002,99997017,UPN          ,Cherry,Holly,19/11/1999,F,2,,L,3A,,4B,3,4,,4,3,PA,50,EN,English,1,1,18,65,16,1,99,99,99,82,16,1,5B,5,82,Final,08/05/2014
2013,2014,9994002,99909472,UPN          ,Cherry,Thomas,25/09/1999,M,2,,L,3A,,5B,4,3,,4,4,PA,50,EN,English,1,2,26,61,10,1,99,99,98,72,11,1,5C,5,72,Final,08/05/2014
2013,2014,9994002,99911293,UPN          ,Cherry,Zachary,06/12/1999,M,2,,U,5C,,5B,5,5,,5,5,PA,50,EN,English,1,1,1,11,58,30,99,99,99,99,89,30,6B,7,30,Final,08/05/2014
2013,2014,9994002,99903536,UPN          ,Chive,Daniel,21/02/2000,M,2,,U,5B,,5A,5,5,,5,5,PA,50,EN,English,1,1,1,3,42,54,99,99,99,99,97,54,6A,7,54,Final,08/05/2014
2013,2014,9994002,99929891,UPN          ,Chive,Rachel,10/12/1999,F,2,,L,3C,,N,3,2,,3,3,PA,50,EN,English,2,15,57,26,1,1,99,98,84,27,1,1,4B,5,27,Final,08/05/2014
2013,2014,9994002,99943452,UPN          ,Chive,Zachary,14/12/1999,M,2,,U,4A,,5C,5,4,,5,5,PA,50,EN,English,1,1,1,24,60,14,99,99,99,99,75,14,6C,6,75,Final,08/05/2014
2013,2014,9994002,99903124,UPN          ,Chlorine,Daniel,16/03/2000,M,2,,M,4B,,4A,4,4,,4,4,PA,50,EN,English,1,1,10,59,29,1,99,99,99,90,30,1,5A,6,30,Final,08/05/2014
2013,2014,9994002,99923604,UPN          ,Chlorine,George,12/05/2000,M,2,,M,4C,,4A,4,4,,4,4,PA,50,EN,English,1,1,14,62,23,1,99,99,99,86,23,1,5B,6,23,Final,08/05/2014
2013,2014,9994002,99926389,UPN          ,Chlorine,Lisa,18/08/2000,F,2,,M,4B,,4C,4,4,,4,4,PA,50,EN,English,1,1,4,48,45,3,99,99,99,96,48,3,5A,6,48,Final,08/05/2014
2013,2014,9994002,99901105,UPN          ,Chlorine,Stacey,04/10/1999,F,2,,M,4A,,4B,4,4,,4,4,PA,50,EN,English,1,1,1,31,60,8,99,99,99,99,68,8,6C,6,68,Final,08/05/2014
2013,2014,9994002,99985842,UPN          ,Chromium,Dougal,11/08/2000,M,2,,M,4B,,4B,4,4,,4,4,PA,50,EN,English,1,1,11,60,27,1,99,99,99,88,28,1,5B,6,28,Final,08/05/2014
2013,2014,9994002,99929382,UPN          ,Chromium,Jason,03/06/2000,M,2,,L,B,,B,3,3,,2,3,PA,50,EN,English,3,23,58,15,1,1,99,97,73,16,1,1,4B,5,16,Final,08/05/2014
2013,2014,9994002,99901121,UPN          ,Chromium,Lewis,15/05/2000,M,2,,U,4A,,5C,5,5,,5,5,PA,50,EN,English,1,1,1,24,60,14,99,99,99,99,75,14,6C,6,75,Final,08/05/2014
2013,2014,9994002,99907260,UPN          ,Cinnamon,Jenny,21/05/2000,F,2,,U,5C,,5C,5,5,,4,5,PA,50,EN,English,1,1,1,8,59,33,99,99,99,99,92,33,6B,7,33,Final,08/05/2014
2013,2014,9994002,99978868,UPN          ,Cobalt,Melanie,12/09/1999,F,2,,M,4A,,4C,4,4,,4,4,PA,50,EN,English,1,1,2,32,59,7,99,99,99,98,66,7,6C,6,66,Final,08/05/2014
2013,2014,9994002,99913663,UPN          ,Coconut,Dale,12/04/2000,M,2,,U,4B,,5C,5,4,,5,5,PA,50,EN,English,1,1,3,38,53,7,99,99,99,97,59,7,6C,6,59,Final,08/05/2014
2013,2014,9994002,99905867,UPN          ,Coconut,Isabelle,31/05/2000,F,2,,U,5C,,5B,5,5,,5,5,PA,50,EN,English,1,1,1,5,53,42,99,99,99,99,95,42,6A,7,42,Final,08/05/2014
2013,2014,9994002,99978235,UPN          ,Coconut,Neil,25/03/2000,M,2,,M,4A,,4B,5,4,,4,5,PA,50,EN,English,1,1,4,44,48,5,99,99,99,96,52,5,5A,6,52,Final,08/05/2014
2013,2014,9994002,99907226,UPN          ,Copper,Nicholas,04/09/1999,M,2,,L,B,,B,2,2,,2,2,PA,50,EN,English,10,36,48,5,1,1,99,90,53,5,1,1,4C,4,53,Final,08/05/2014
2013,2014,9994002,99918789,UPN          ,Copper,Owen,16/04/2000,M,2,,U,4C,,5B,5,5,,5,5,PA,50,EN,English,1,1,4,46,45,4,99,99,99,96,50,4,5A,6,50,Final,08/05/2014
2013,2014,9994002,99944930,UPN          ,Copper,Quentin,10/06/2000,M,2,,L,4C,,4C,4,4,,4,4,PA,50,EN,English,1,1,21,63,14,1,99,99,99,77,14,1,5B,6,14,Final,08/05/2014
2013,2014,9994002,99905541,UPN          ,Copper,Yasmin,26/06/2000,F,2,,L,4B,,3C,4,4,,3,4,PA,50,EN,English,1,1,8,58,33,1,99,99,99,92,34,1,5A,6,34,Final,08/05/2014
2013,2014,9994002,99940031,UPN          ,Coriander,Angela,21/04/2000,F,2,,U,4B,,5C,5,5,,5,5,PA,50,EN,English,1,1,1,18,65,17,99,99,99,99,82,17,6B,6,82,Final,08/05/2014
2013,2014,9994002,99914690,UPN          ,Coriander,Colette,22/01/2000,F,2,,L,3B,,3B,3,3,,3,3,PA,50,EN,English,1,6,43,48,3,1,99,99,94,51,3,1,4A,5,51,Final,08/05/2014
2013,2014,9994002,99985639,UPN          ,Coriander,Dougal,21/05/2000,M,2,,U,5C,,5A,5,4,,5,5,PA,50,EN,English,1,1,1,12,59,29,99,99,99,99,88,29,6B,7,29,Final,08/05/2014
2013,2014,9994002,99923209,UPN          ,Corn,Angela,21/07/2000,F,2,,M,5C,,5B,4,5,,4,4,PA,50,EN,English,1,1,1,16,65,19,99,99,99,99,84,19,6B,7,19,Final,08/05/2014
2013,2014,9994002,99901986,UPN          ,Corn,Joseph,06/01/2000,M,2,,M,5C,,5A,4,4,,4,4,PA,50,EN,English,1,1,2,34,56,9,99,99,99,98,64,9,6C,7,9,Final,08/05/2014
2013,2014,9994002,99901782,UPN          ,Corn,Katie,07/04/2000,F,2,,M,4A,,5C,4,4,,4,4,PA,50,EN,English,1,1,2,37,55,6,99,99,99,98,61,6,6C,6,61,Final,08/05/2014
2013,2014,9994002,99900081,UPN          ,Corn,Kyle,23/03/2000,M,2,,L,3C,,4C,3,3,,3,3,PA,50,EN,English,1,13,55,29,1,1,99,99,85,30,1,1,4A,5,30,Final,08/05/2014
2013,2014,9994002,99954030,UPN          ,Crab Apple,Fiona,14/12/1999,F,2,,U,5C,,5B,5,5,,5,5,PA,50,EN,English,1,1,1,4,50,46,99,99,99,99,96,46,6A,7,46,Final,08/05/2014
2013,2014,9994002,99903160,UPN          ,Crab Apple,Jake,14/11/1999,M,2,,L,3A,,3B,3,3,,3,3,PA,50,EN,English,1,7,44,46,3,1,99,99,93,49,3,1,4A,5,49,Final,08/05/2014
2013,2014,9994002,99957566,UPN          ,Crab Apple,Martin,11/10/1999,M,2,,U,5B,,5B,4,5,,5,4,PA,50,EN,English,1,1,1,14,60,25,99,99,99,99,85,25,6B,7,25,Final,08/05/2014
2013,2014,9994002,99902519,UPN          ,Crab Apple,Nicola,05/06/2000,F,2,,M,5C,,4A,4,4,,4,4,PA,50,EN,English,1,1,1,19,65,16,99,99,99,99,80,16,6B,7,16,Final,08/05/2014
2013,2014,9994002,99906222,UPN          ,Cress,Lewis,17/04/2000,M,2,,L,4C,,3B,4,4,,3,4,PA,50,EN,English,1,1,21,63,14,1,99,99,99,77,14,1,5B,6,14,Final,08/05/2014
2013,2014,9994002,99909650,UPN          ,Cress,Louis,27/09/1999,M,2,,U,4B,,5B,5,4,,5,5,PA,50,EN,English,1,1,2,35,55,8,99,99,99,98,63,8,6C,6,63,Final,08/05/2014
2013,2014,9994002,99904164,UPN          ,Cress,Stephen,01/03/2000,M,2,,M,4A,,5C,4,5,,4,4,PA,50,EN,English,1,1,4,44,47,5,99,99,99,96,52,5,5A,6,52,Final,08/05/2014
2013,2014,9994002,99907220,UPN          ,Cucumber,Caitlin,30/03/2000,F,2,,U,4A,,5C,5,5,,4,5,PA,50,EN,English,1,1,1,14,64,22,99,99,99,99,86,22,6B,6,86,Final,08/05/2014
2013,2014,9994002,99957983,UPN          ,Cucumber,Joanne,23/10/1999,F,2,,U,5C,,5C,5,5,,5,5,PA,50,EN,English,1,1,1,6,55,39,99,99,99,99,94,39,6A,7,39,Final,08/05/2014
2013,2014,9994002,99919875,UPN          ,Cumin,Megan,13/09/1999,F,2,,M,4A,,4B,4,4,,4,4,PA,50,EN,English,1,1,2,34,57,7,99,99,99,98,64,7,6C,6,64,Final,08/05/2014
2013,2014,9994002,99949749,UPN          ,Dill,Bethany,13/12/1999,F,2,,U,5B,,5C,5,5,,5,5,PA,50,EN,English,1,1,1,1,35,64,99,99,99,99,99,64,7C,7,64,Final,08/05/2014
2013,2014,9994002,99906602,UPN          ,Dill,Bradley,16/10/1999,M,2,,U,5C,,5C,5,4,,4,5,PA,50,EN,English,1,1,1,24,61,15,99,99,99,99,75,15,6C,7,15,Final,08/05/2014
2013,2014,9994002,99907238,UPN          ,Dill,George,03/11/1999,M,2,,U,5B,,5A,5,5,,5,5,PA,50,EN,English,1,1,1,4,44,52,99,99,99,99,96,52,6A,7,52,Final,08/05/2014
2013,2014,9994002,99900485,UPN          ,Fluorine,Martin,21/08/2000,M,2,,M,4B,,4B,4,4,,4,4,PA,50,EN,English,1,1,11,60,27,1,99,99,99,88,28,1,5B,6,28,Final,08/05/2014
2013,2014,9994002,99921197,UPN          ,Fluorine,Tina,23/12/1999,F,2,,U,5C,,5B,5,5,,5,5,PA,50,EN,English,1,1,1,6,55,39,99,99,99,99,94,39,6A,7,39,Final,08/05/2014
2013,2014,9994002,99994628,UPN          ,Fluorine,Victor,17/07/2000,M,2,,U,5C,,5B,5,5,,5,5,PA,50,EN,English,1,1,1,7,53,40,99,99,99,99,93,40,6A,7,40,Final,08/05/2014
2013,2014,9994002,99913662,UPN          ,Garlic,Ella,05/08/2000,F,2,,M,5C,,5B,4,5,,4,4,PA,50,EN,English,1,1,1,11,63,25,99,99,99,99,88,25,6B,7,25,Final,08/05/2014
2013,2014,9994002,99913772,UPN          ,Garlic,Zachary,21/09/1999,M,2,,M,3B,,5B,4,3,,5,4,PA,50,EN,English,1,2,26,61,11,1,99,99,98,72,11,1,5C,5,72,Final,08/05/2014
2013,2014,9994002,99903147,UPN          ,Germanium,Kyle,01/06/2000,M,2,,M,4A,,4A,4,4,,4,4,PA,50,EN,English,1,1,6,53,38,3,99,99,99,93,41,3,5A,6,41,Final,08/05/2014
2013,2014,9994002,99902851,UPN          ,Germanium,Luke,07/12/1999,M,2,,L,3B,,4C,3,3,,3,3,PA,50,EN,English,1,11,52,35,1,1,99,99,89,36,1,1,4A,5,36,Final,08/05/2014
2013,2014,9994002,99914574,UPN          ,Germanium,Thomas,23/04/2000,M,2,,M,4B,,4A,4,4,,4,4,PA,50,EN,English,1,1,9,57,32,2,99,99,99,91,34,2,5A,6,34,Final,08/05/2014
2013,2014,9994002,99903118,UPN          ,Germanium,William,24/07/2000,M,2,,U,4B,,5C,5,4,,5,5,PA,50,EN,English,1,1,3,43,49,5,99,99,99,96,54,5,5A,6,54,Final,08/05/2014
2013,2014,9994002,99957182,UPN          ,Ginger,Ryan,19/03/2000,M,2,,L,3B,,3A,3,3,,3,3,PA,50,EN,English,1,11,52,35,1,1,99,99,88,36,1,1,4A,5,36,Final,08/05/2014
2013,2014,9994002,99929369,UPN          ,Gold,Mark,24/08/2000,M,2,,U,4C,,5B,5,4,,5,5,PA,50,EN,English,1,1,5,48,44,4,99,99,99,95,47,4,5A,6,47,Final,08/05/2014
2013,2014,9994002,99952656,UPN          ,Grapefruit,Christian,27/12/1999,M,2,,L,3B,,3B,3,4,,3,3,PA,50,EN,English,1,9,49,40,2,1,99,99,91,42,2,1,4A,5,42,Final,08/05/2014
2013,2014,9994002,99914381,UPN          ,Grapefruit,Deborah,03/01/2000,F,2,,U,4B,,5C,5,5,,5,5,PA,50,EN,English,1,1,1,19,65,16,99,99,99,99,80,16,6B,6,80,Final,08/05/2014
2013,2014,9994002,99905185,UPN          ,Grapefruit,Ryan,06/02/2000,M,2,,M,5C,,4A,4,4,,4,4,PA,50,EN,English,1,1,3,43,49,5,99,99,99,96,54,5,6C,7,5,Final,08/05/2014
2013,2014,9994002,99906577,UPN          ,Helium,Jay,05/04/2000,M,2,,L,3A,,4B,3,3,,3,3,PA,50,EN,English,1,6,44,46,3,1,99,99,93,50,3,1,4A,5,50,Final,08/05/2014
2013,2014,9994002,99946364,UPN          ,Helium,Leon,11/11/1999,M,2,,M,4B,,4A,4,4,,4,4,PA,50,EN,English,1,1,12,61,25,1,99,99,99,87,26,1,5B,6,26,Final,08/05/2014
