ACADEMIC_YEAR,ASSESSMENT_YEAR,SCH_ID,FFT_ID,UPN,SURNAME,FORENAMES,DOB,GENDER,PRIOR_ATTAIN_KEY_STAGE,PRIOR_ATTAIN_RANK,PRIOR_ATTAIN_GROUP,ENGLISH_TEST,WELSH_TEST,MATHS_TEST,SCIENCE_TEST,ENGLISH_TA,WELSH_TA,MATHS_TA,SCIENCE_TA,EST_BASIS,EST_RANK,QUAL_CODE,QUAL_DESC_SHORT,QUAL_DESC,SBJ_MAPPING,SBJ_QAN ,SUBJECT,QUALIFICATION_TITLE ,KS4_G_PROB,KS4_F_PROB,KS4_E_PROB,KS4_D_PROB,KS4_C_PROB,KS4_B_PROB,KS4_A_PROB,KS4_ASTAR_PROB,KS4_GPLUS_PROB,KS4_FPLUS_PROB,KS4_EPLUS_PROB,KS4_DPLUS_PROB,KS4_CPLUS_PROB,KS4_BPLUS_PROB,KS4_APLUS_PROB,KS4_PASS_PROB,KS4_GM,KS4_HGM_PROB,KS4_GA,EXPECTED_PROGRESS_LEVEL,BETTER_EXPECTED_PROGRESS_LEVEL,EXPECTED_PROGRESS_PROB,BETTER_EXPECTED_PROGRESS_PROB,PRIOR_ATTAIN_DATA_STATUS,EXPORT_DATE
2014,2014,9994002,99903479,UPN          ,Quince,Zachary,17/04/1998,M,3,,U,7,,8,7,7,,8,7,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,1,4,18,28,27,21,99,99,99,98,94,76,47,99,B,47,A,S,S,21,21,Final,08/05/2014
2014,2014,9994002,99903845,UPN          ,Uranium,Gill,21/07/1998,F,2,,L,4B,,4C,4C,4,,4,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,2,5,13,36,28,11,4,99,99,97,92,79,44,16,99,C,44,B,C,B,79,44,Final,08/05/2014
2014,2014,9994002,99903845,UPN          ,Uranium,Gill,21/07/1998,F,3,,M,5,,6,5,5,,6,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,4,12,36,30,12,4,99,99,98,94,82,45,16,99,C,45,B,B,B,45,16,Final,08/05/2014
2014,2014,9994002,99904217,UPN          ,Bay Leaf,Eleanor,06/10/1997,F,2,,L,4B,,4B,5C,3,,4,3,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,2,6,14,36,27,10,4,99,99,97,91,77,41,14,99,C,41,B,C,B,77,41,Final,08/05/2014
2014,2014,9994002,99904217,UPN          ,Bay Leaf,Eleanor,06/10/1997,F,3,,M,5,,6,5,5,,6,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,4,12,37,29,11,3,99,99,98,93,81,44,15,99,C,44,B,B,B,44,15,Final,08/05/2014
2014,2014,9994002,99904333,UPN          ,Lemongrass,Stephanie,02/02/1998,F,2,,U,5C,,5C,5B,5,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,1,3,15,30,28,23,99,99,99,99,96,81,51,99,A,23,S,B,A,81,51,Final,08/05/2014
2014,2014,9994002,99904333,UPN          ,Lemongrass,Stephanie,02/02/1998,F,3,,U,6,,7,6,6,,7,6,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,1,5,21,33,25,15,99,99,99,98,94,73,39,99,B,39,A,A,A,39,15,Final,08/05/2014
2014,2014,9994002,99905797,UPN          ,Sodium,Clare,12/12/1997,F,2,,L,4C,,3C,4C,3,,3,3,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,2,6,10,20,39,18,4,1,99,98,93,82,62,23,5,99,C,23,B,D,C,82,62,Final,08/05/2014
2014,2014,9994002,99905797,UPN          ,Sodium,Clare,12/12/1997,F,3,,L,5,,4,4,5,,4,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,2,6,11,21,40,16,3,1,99,98,92,82,60,20,4,99,C,20,B,C,C,60,20,Final,08/05/2014
2014,2014,9994002,99905876,UPN          ,Corn,Kelly,20/08/1998,F,2,,M,5C,,4C,4A,4,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,2,7,27,32,19,11,99,99,99,97,89,63,30,99,B,30,A,C,B,89,63,Final,08/05/2014
2014,2014,9994002,99905876,UPN          ,Corn,Kelly,20/08/1998,F,3,,M,5,,6,6,5,,6,6,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,3,10,33,32,15,6,99,99,99,96,86,53,21,99,B,21,A,A,A,21,6,Final,08/05/2014
2014,2014,9994002,99905890,UPN          ,Basil,Max,05/06/1998,M,2,,U,5C,,5B,4A,5,,5,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,3,6,12,32,26,14,7,99,99,96,91,78,46,20,99,C,46,B,B,A,46,20,Final,08/05/2014
2014,2014,9994002,99905890,UPN          ,Basil,Max,05/06/1998,M,3,,U,5,,7,7,5,,7,7,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,2,5,12,33,27,14,6,99,99,97,92,80,47,20,99,C,47,B,A,A,20,6,Final,08/05/2014
2014,2014,9994002,99905918,UPN          ,Mixed Spice,Trevor,28/02/1998,M,2,,M,4B,,4B,4A,4,,4,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,2,5,10,18,37,20,7,2,99,98,93,83,65,29,9,99,C,29,B,C,B,65,29,Final,08/05/2014
2014,2014,9994002,99905918,UPN          ,Mixed Spice,Trevor,28/02/1998,M,3,,M,5,,5,6,5,,5,6,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,2,5,10,19,39,19,5,2,99,98,93,83,64,26,7,99,C,26,B,B,B,26,7,Final,08/05/2014
2014,2014,9994002,99906238,UPN          ,Mercury,Megan,20/10/1997,F,2,,U,5B,,5B,5C,5,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,1,3,15,30,28,23,99,99,99,99,96,81,52,99,A,23,S,B,A,81,52,Final,08/05/2014
2014,2014,9994002,99906238,UPN          ,Mercury,Megan,20/10/1997,F,3,,U,6,,7,7,6,,7,7,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,1,3,17,31,28,20,99,99,99,99,96,79,48,99,B,48,A,S,S,20,20,Final,08/05/2014
2014,2014,9994002,99907223,UPN          ,Neon,Patrick,14/01/1998,M,2,,L,3C,,3A,4C,3,,3,3,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,5,11,17,23,32,9,1,1,99,95,84,67,43,11,2,98,D,43,C,D,C,67,43,Final,08/05/2014
2014,2014,9994002,99907223,UPN          ,Neon,Patrick,14/01/1998,M,3,,L,3,,4,4,3,,4,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,7,14,21,25,28,5,1,1,99,93,79,58,34,6,1,97,D,34,C,C,C,34,6,Final,08/05/2014
2014,2014,9994002,99910153,UPN          ,Orange,Jenny,14/07/1998,F,2,,U,5C,,5A,5B,5,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,1,3,14,29,29,24,99,99,99,99,96,82,53,99,A,24,S,B,A,82,53,Final,08/05/2014
2014,2014,9994002,99910153,UPN          ,Orange,Jenny,14/07/1998,F,3,,U,6,,8,6,6,,8,6,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,1,3,15,31,30,21,99,99,99,99,96,81,50,99,A,21,S,S,S,21,21,Final,08/05/2014
2014,2014,9994002,99911142,UPN          ,Parsley,David,23/04/1998,M,2,,L,4A,,3A,4A,4,,4,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,2,7,11,20,37,17,5,2,99,98,91,80,60,23,7,99,C,23,B,C,B,60,23,Final,08/05/2014
2014,2014,9994002,99911142,UPN          ,Parsley,David,23/04/1998,M,3,,L,5,,5,5,5,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,2,6,11,21,38,16,4,1,99,98,91,80,59,21,5,99,C,21,B,B,B,21,5,Final,08/05/2014
2014,2014,9994002,99911343,UPN          ,Marrow,Kym,19/04/1998,F,2,,M,4C,,4B,5C,4,,4,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,4,12,34,29,13,5,99,99,98,93,81,47,18,99,C,47,B,C,B,81,47,Final,08/05/2014
2014,2014,9994002,99911343,UPN          ,Marrow,Kym,19/04/1998,F,3,,M,5,,6,5,5,,6,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,4,12,37,30,12,4,99,99,98,94,81,45,15,99,C,45,B,B,B,45,15,Final,08/05/2014
2014,2014,9994002,99913184,UPN          ,Titanium,Zara,22/11/1997,F,2,,M,4A,,4C,4B,4,,4,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,4,12,34,29,13,5,99,99,98,93,81,47,18,99,C,47,B,C,B,81,47,Final,08/05/2014
2014,2014,9994002,99913184,UPN          ,Titanium,Zara,22/11/1997,F,3,,M,5,,6,5,5,,6,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,4,12,37,29,11,3,99,99,98,93,81,44,15,99,C,44,B,B,B,44,15,Final,08/05/2014
2014,2014,9994002,99913347,UPN          ,Mixed Spice,Kieran,05/01/1998,M,2,,M,4B,,4C,4A,4,,4,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,2,6,11,19,37,18,5,2,99,98,92,81,61,25,7,99,C,25,B,C,B,61,25,Final,08/05/2014
2014,2014,9994002,99913347,UPN          ,Mixed Spice,Kieran,05/01/1998,M,3,,M,5,,6,6,5,,6,6,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,4,8,17,38,22,7,2,99,99,95,86,69,31,10,99,C,31,B,A,A,10,2,Final,08/05/2014
2014,2014,9994002,99913393,UPN          ,Sesame,Carol,13/09/1997,F,2,,M,5C,,4A,5B,4,,4,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,2,6,24,32,22,13,99,99,99,97,91,67,35,99,B,35,A,C,B,91,67,Final,08/05/2014
2014,2014,9994002,99913393,UPN          ,Sesame,Carol,13/09/1997,F,3,,U,6,,7,6,6,,7,6,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,1,5,22,33,25,14,99,99,99,98,94,72,39,99,B,39,A,A,A,39,14,Final,08/05/2014
2014,2014,9994002,99913713,UPN          ,Mushroom,Derek,23/12/1997,M,2,,U,5C,,5C,5C,4,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,3,6,13,33,25,13,6,99,99,96,90,77,45,19,99,C,45,B,B,A,45,19,Final,08/05/2014
2014,2014,9994002,99913713,UPN          ,Mushroom,Derek,23/12/1997,M,3,,M,5,,7,6,5,,7,6,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,3,7,14,36,25,10,4,99,99,96,89,75,39,14,99,C,39,B,A,A,14,4,Final,08/05/2014
2014,2014,9994002,99914019,UPN          ,Orange,Lucy,23/10/1997,F,2,,U,5C,,5B,5C,5,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,1,4,19,32,26,18,99,99,99,98,94,75,43,99,B,43,A,B,A,75,43,Final,08/05/2014
2014,2014,9994002,99914019,UPN          ,Orange,Lucy,23/10/1997,F,3,,M,5,,5,7,5,,5,7,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,3,11,35,31,14,5,99,99,99,95,84,50,19,99,C,50,B,A,A,19,5,Final,08/05/2014
2014,2014,9994002,99914359,UPN          ,Radish,Nigel,23/11/1997,M,2,,L,B,,4C,4C,1,,3,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,5,11,19,24,31,8,1,1,99,95,83,65,41,10,2,96,D,41,C,D,C,65,41,Final,08/05/2014
2014,2014,9994002,99914359,UPN          ,Radish,Nigel,23/11/1997,M,3,,L,4,,4,5,4,,4,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,4,10,17,24,34,9,1,1,99,96,85,69,44,10,2,99,D,44,C,C,C,44,10,Final,08/05/2014
2014,2014,9994002,99916276,UPN          ,Oxygen,Christina,18/01/1998,F,2,,L,4B,,4B,4A,3,,4,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,2,5,12,35,29,12,5,99,99,97,93,80,45,17,99,C,45,B,C,B,80,45,Final,08/05/2014
2014,2014,9994002,99916276,UPN          ,Oxygen,Christina,18/01/1998,F,3,,L,5,,4,4,5,,4,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,2,6,11,21,40,16,3,1,99,98,92,82,60,20,4,99,C,20,B,C,C,60,20,Final,08/05/2014
2014,2014,9994002,99917634,UPN          ,Cadmium,Simon,02/06/1998,M,2,,M,5B,,3A,4A,5,,4,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,4,8,17,36,22,9,3,99,99,94,87,70,34,12,99,C,34,B,C,B,70,34,Final,08/05/2014
2014,2014,9994002,99917634,UPN          ,Cadmium,Simon,02/06/1998,M,3,,M,5,,6,6,5,,6,6,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,4,8,17,38,22,8,2,99,99,95,87,70,32,10,99,C,32,B,A,A,10,2,Final,08/05/2014
2014,2014,9994002,99919137,UPN          ,Tin,Eleanor,26/05/1998,F,2,,L,5C,,3B,3A,4,,3,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,2,6,14,37,27,10,4,99,99,97,91,77,40,13,99,C,40,B,C,B,77,40,Final,08/05/2014
2014,2014,9994002,99919137,UPN          ,Tin,Eleanor,26/05/1998,F,3,,L,5,,5,5,5,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,2,6,15,39,26,8,2,99,99,97,91,76,36,11,99,C,36,B,B,B,36,11,Final,08/05/2014
2014,2014,9994002,99919172,UPN          ,Turnip,Edward,31/08/1998,M,2,,U,5C,,5B,5A,5,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,3,7,24,28,23,14,99,99,98,96,89,65,37,99,B,37,A,B,A,65,37,Final,08/05/2014
2014,2014,9994002,99919172,UPN          ,Turnip,Edward,31/08/1998,M,3,,U,5,,8,7,5,,8,7,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,4,9,28,29,19,9,99,99,98,94,85,57,28,99,B,28,A,S,S,9,9,Final,08/05/2014
2014,2014,9994002,99920117,UPN          ,Quince,Nina,28/05/1998,F,2,,L,3A,,3A,3A,3,,4,3,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,2,5,10,19,39,19,5,1,99,98,93,84,64,25,6,99,C,25,B,D,C,84,64,Final,08/05/2014
2014,2014,9994002,99920117,UPN          ,Quince,Nina,28/05/1998,F,3,,L,5,,5,5,5,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,2,6,15,39,26,8,2,99,99,97,91,76,36,11,99,C,36,B,B,B,36,11,Final,08/05/2014
2014,2014,9994002,99922197,UPN          ,Lavender,Nina,12/01/1998,F,2,,L,4B,,4B,4A,4,,3,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,2,5,13,35,28,12,5,99,99,97,92,80,44,16,99,C,44,B,C,B,80,44,Final,08/05/2014
2014,2014,9994002,99922197,UPN          ,Lavender,Nina,12/01/1998,F,3,,L,4,,4,4,4,,4,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,3,8,14,24,38,11,1,1,99,97,89,75,51,13,2,99,C,13,B,C,C,51,13,Final,08/05/2014
2014,2014,9994002,99923558,UPN          ,Crab Apple,David,05/08/1998,M,2,,U,A,,A,5A,5,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,3,8,26,28,21,12,99,99,98,95,87,61,33,99,B,33,A,B,A,61,33,Final,08/05/2014
2014,2014,9994002,99923558,UPN          ,Crab Apple,David,05/08/1998,M,3,,U,5,,8,7,5,,8,7,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,4,9,28,29,19,9,99,99,98,94,85,57,28,99,B,28,A,S,S,9,9,Final,08/05/2014
2014,2014,9994002,99923560,UPN          ,Almond,Sally,27/03/1998,F,2,,U,5C,,5C,5B,5,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,1,3,16,30,27,21,99,99,99,99,95,79,48,99,B,48,A,B,A,79,48,Final,08/05/2014
2014,2014,9994002,99923560,UPN          ,Almond,Sally,27/03/1998,F,3,,M,6,,6,6,6,,6,6,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,2,7,27,34,20,10,99,99,99,97,91,64,31,99,B,31,A,A,A,31,10,Final,08/05/2014
2014,2014,9994002,99923564,UPN          ,Lettuce,Gareth,12/02/1998,M,2,,M,A,,A,4B,4,,4,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,2,6,11,19,36,18,5,2,99,98,91,80,61,25,7,99,C,25,B,C,B,61,25,Final,08/05/2014
2014,2014,9994002,99923564,UPN          ,Lettuce,Gareth,12/02/1998,M,3,,U,6,,7,6,6,,7,6,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,2,4,11,32,28,15,7,99,99,97,93,82,50,21,99,C,50,B,A,A,21,7,Final,08/05/2014
2014,2014,9994002,99923599,UPN          ,Lime,Jenna,21/09/1997,F,2,,M,4A,,4C,5C,5,,4,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,3,10,32,31,15,7,99,99,98,95,85,53,22,99,B,22,A,C,B,85,53,Final,08/05/2014
2014,2014,9994002,99923599,UPN          ,Lime,Jenna,21/09/1997,F,3,,M,5,,6,5,5,,6,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,4,13,37,29,11,3,99,99,98,93,81,44,15,99,C,44,B,B,B,44,15,Final,08/05/2014
2014,2014,9994002,99924096,UPN          ,Artichoke,Lucy,10/09/1997,F,2,,M,4B,,4C,5B,4,,4,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,4,12,34,29,13,5,99,99,98,93,81,47,18,99,C,47,B,C,B,81,47,Final,08/05/2014
2014,2014,9994002,99924096,UPN          ,Artichoke,Lucy,10/09/1997,F,3,,M,5,,6,6,5,,6,6,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,3,10,34,32,14,5,99,99,99,95,85,51,20,99,B,20,A,A,A,20,5,Final,08/05/2014
2014,2014,9994002,99924170,UPN          ,Orange,Sam,22/03/1998,M,2,,M,4A,,4A,5C,4,,4,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,4,8,15,35,23,10,4,99,99,95,87,72,36,13,99,C,36,B,C,B,72,36,Final,08/05/2014
2014,2014,9994002,99924170,UPN          ,Orange,Sam,22/03/1998,M,3,,M,5,,6,7,5,,6,7,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,3,6,15,37,25,10,4,99,99,96,90,75,38,13,99,C,38,B,A,A,13,4,Final,08/05/2014
2014,2014,9994002,99924172,UPN          ,Melon,Leanne,12/07/1998,F,2,,U,5B,,5B,5B,5,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,1,1,10,25,31,32,99,99,99,99,98,88,62,99,A,32,S,B,A,88,62,Final,08/05/2014
2014,2014,9994002,99924172,UPN          ,Melon,Leanne,12/07/1998,F,3,,U,6,,7,7,6,,7,7,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,1,3,16,31,28,21,99,99,99,99,96,80,49,99,B,49,A,S,S,21,21,Final,08/05/2014
2014,2014,9994002,99924178,UPN          ,Mercury,Kirsty,22/09/1997,F,2,,U,5C,,4A,5C,5,,4,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,2,6,25,32,21,12,99,99,99,97,91,66,34,99,B,34,A,B,A,66,34,Final,08/05/2014
2014,2014,9994002,99924178,UPN          ,Mercury,Kirsty,22/09/1997,F,3,,M,5,,6,6,5,,6,6,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,3,10,34,32,14,5,99,99,99,95,85,51,20,99,B,20,A,A,A,20,5,Final,08/05/2014
2014,2014,9994002,99926497,UPN          ,Bay Leaf,Caitlin,15/05/1998,F,2,,M,4A,,3A,4C,4,,4,4,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,2,5,12,35,29,12,5,99,99,97,93,80,46,17,99,C,46,B,C,B,80,46,Final,08/05/2014
2014,2014,9994002,99926497,UPN          ,Bay Leaf,Caitlin,15/05/1998,F,3,,L,5,,5,5,5,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,2,6,15,39,26,8,2,99,99,97,91,76,36,11,99,C,36,B,B,B,36,11,Final,08/05/2014
2014,2014,9994002,99927845,UPN          ,Strawberry,Sophie,16/08/1998,F,3,,M,5,,7,5,5,,7,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,3,9,32,33,16,6,99,99,99,96,87,55,22,99,B,22,A,A,A,22,6,Final,08/05/2014
2014,2014,9994002,99932980,UPN          ,Beetroot,Daniel,21/04/1998,M,2,,U,5C,,5A,5B,5,,5,5,PA50 (Type A),50,310,GCSE,GCSE Full Course,5,Not Used,Art&Des,Art & Design,1,1,3,8,26,28,21,12,99,99,98,95,87,61,33,99,B,33,A,B,A,61,33,Final,08/05/2014
